STATUS_CM,DETAILS,SHOP,LABELNO,ORDERNO,ORDERDATE,CM_PROJECTNO,PARTNO,SERIALNO,DESCRIPTION,QTY,DAYS_OPND,LOCATION,ARRIVAL_IN_SHOP,PAUSED,GROUP-SHOP,BACKORDER,ORDER_STATUS,TARGET_DATE,CONFIRMED_DATE,TOOL,MAT_CLASS,DURATION,STOCK,STOCK_PN,STOCK_INAC_WALTN,STOCK_IND_TOT,CONTRACT,POOL,PRIORP,PRIORP_RMK,pr_Available,pr_Transfer,pr_Order_Ext,pr_Order_Int,pr_Unavailable,ESTADO_MATERIALES,STATUS_NO_TOOL,STATUS_TOOL,PAUSED_NO_SHOP_TAT,PAUSED_SHOP_TAT,CM_STATUS_GLOB,WS_FIRMADO,WS_PENDIENTE,WS_PEND_INSP,WS_TOT,NEXT_WS,NEXT_STATUS,NEXT_DESC,NEXT_SOLAPA,step_date,step_days,porcent,steps
PAUSED - OTHER,,METROLOGY,998625,R3497419,2019-08-27,CM30932,-30 INHG,8890,MANOVACUOMETRO,1,1403,EZE/AR-TL-SH/U/S,2019-09-04,Y,SHOP_EZE,1,O,,,Y,R,2,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,779.78,PAUSED,1,1,0,2,352060,WS_PENDIENTE,CALIBRATION,Check,2019-09-04,1395,50.0,1 de 2
PAUSED - OTHER,,METROLOGY,998626,R3497619,2019-08-27,CM30933,-30 INHG,8809,MANOVACUOMETRO,1,1403,EZE/AR-TL-SH/U/S,2019-09-04,Y,SHOP_EZE,1,O,,,Y,R,2,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,379.65,PAUSED,1,1,0,2,352064,WS_PENDIENTE,CALIBRATION,Check,2019-09-04,1395,50.0,1 de 2
PAUSED - OTHER,,METROLOGY,0,R0025581TRF,2017-03-09,CM1791,.275-.500,1260,MICROMETRO DE INTERIOR AXIAL,1,2304,EZE/SHOP-EZE/U/S,2022-01-28,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,517.7,PAUSED,0,1,0,1,1790,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY,0,R0025581TRF,2017-03-09,CM78618,.275-.500,1260,MICROMETRO DE INTERIOR AXIAL,1,2304,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,1487,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,24,0,0,24,,,,,2022-10-27,246,100.0,24 de 24
OPEN-TRANSFER-TO-SHOP,OLDER-OPEN-TRANSF-TO-SHOP,METROLOGY,0,R0025583TRF,2017-03-08,CM1793,.3499IN,960086,ANILLO,1,2305,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,0,1,0,1,1792,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY,0,R0025583TRF,2017-03-08,CM78620,.3499IN,960086,ANILLO,1,2305,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,261,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,11,0,0,11,,,,,2022-07-13,352,100.0,11 de 11
OPEN,,METROLOGY,314106,R1874623,2023-06-29,CM103327,0-100PSI,7072,MANOMETRO,1,1,EZE/AR-TL-H/U/S,,N,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,0,2,0,2,1197043,WS_PENDIENTE,CA (CALIBRATION) ON P/N:0-100PSI S/N:7072,Requirements,2023-06-29,1,50.0,1 de 2
PAUSED - OTHER,,METROLOGY,268650,R1646623,2023-06-07,CM101775,000M,85483,MANOMETRO,1,23,EZE/AR-TL-H/U/S,2023-06-09,Y,SHOP_EZE,1,O,,,Y,R,11,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,20.57,PAUSED,0,5,2,7,1181642,WS_PENDIENTE,Asignación de Patrones,Standard,2023-06-13,17,14.0,1 de 7
OPEN-TRANSFER-TO-SHOP,OLDER-OPEN-TRANSF-TO-SHOP,METROLOGY,0,R0025597TRF,2017-04-29,CM1807,0150MM,3127,CALIBRE,1,2253,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,0,1,0,1,1806,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,OLDER-OPEN-TRANSF-TO-SHOP,METROLOGY,0,R0025597TRF,2017-04-29,CM78634,0150MM,3127,CALIBRE,1,2253,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,239.88,OPEN,0,2,1,3,997679,WS_PENDIENTE,Lavado de Redes.,Cleaning,2022-11-02,240,33.0,1 de 3
