cm_projectno,orderno,shop,cm_projectno_i,detailno_i,partno,orderno_i,order_type,order_date,closing_date,state,internal_repair,serial_batch_no,detail_state,qty_order,backorder,description,condition,receiving_number,detailno_i_rec,receiving_detail_number_id,qty_rec,partno_rec,delivery_date,serial_batch_rec,condition_POST,tat,ultima_act,ARRIVAL_IN_SHOP,DETAILNO_I_CM,PAUSED,PAUSING_REASON_I,MUTATOR,TAT_ack_to_close
CM100107,R1378023,METROLOGY-A,100107,304616,H-2016-01,242282,R,2023-05-15,2023-06-26,C,Y,4443000403,R,1.0,0.0,MANOMETRO,CA,217531,304616,585732,1.0,H-2016-01,2023-06-26,4443000403,R,42,2023-06-28T11:53:20.039Z,,100107,N,-1,AR027170,
CM100107,R1378023,METROLOGY-A,100107,304616,H-2016-01,242282,R,2023-05-15,2023-06-26,C,Y,4443000403,R,1.0,0.0,MANOMETRO,CA,217531,304616,585732,1.0,H-2016-01,2023-06-26,4443000403,R,42,2023-06-28T11:53:20.039Z,2023-05-15,304616,N,5,AR027170,42
CM100205,R1392723,METROLOGY,100205,304857,2000 PSI,242509,R,2023-05-16,2023-06-25,C,Y,3089,R,1.0,0.0,MANOMETRO,CA,217369,304857,585412,1.0,2000 PSI,2023-06-25,3089,R,40,2023-06-28T11:53:20.039Z,,100205,N,-1,AR029578,
CM100205,R1392723,METROLOGY,100205,304857,2000 PSI,242509,R,2023-05-16,2023-06-25,C,Y,3089,R,1.0,0.0,MANOMETRO,CA,217369,304857,585412,1.0,2000 PSI,2023-06-25,3089,R,40,2023-06-28T11:53:20.039Z,2023-05-17,304857,N,2,AR029578,39
CM100209,R1394523,METROLOGY-A,100209,304884,H-2016-01,242533,R,2023-05-16,2023-05-18,C,Y,T32281,R,1.0,0.0,MANOMETRO,CA,213438,304884,575931,1.0,H-2016-01,2023-05-18,T32281,R,2,2023-06-28T11:53:20.039Z,,100209,N,-1,AR027170,
CM100209,R1394523,METROLOGY-A,100209,304884,H-2016-01,242533,R,2023-05-16,2023-05-18,C,Y,T32281,R,1.0,0.0,MANOMETRO,CA,213438,304884,575931,1.0,H-2016-01,2023-05-18,T32281,R,2,2023-06-28T11:53:20.039Z,2023-05-17,304884,N,2,AR027170,1
CM100210,R1394623,METROLOGY,100210,304886,400 PSI,242535,R,2023-05-16,2023-06-09,C,Y,01,R,1.0,0.0,MANOMETRO,CA,215702,304886,581520,1.0,400 PSI,2023-06-09,01,R,24,2023-06-28T11:53:20.039Z,,100210,N,-1,AR027170,
CM100210,R1394623,METROLOGY,100210,304886,400 PSI,242535,R,2023-05-16,2023-06-09,C,Y,01,R,1.0,0.0,MANOMETRO,CA,215702,304886,581520,1.0,400 PSI,2023-06-09,01,R,24,2023-06-28T11:53:20.039Z,2023-05-17,304886,N,2,AR027170,23
CM100227,R1399123,METROLOGY,100227,304944,NTG2604-S,242586,R,2023-05-16,2023-05-18,C,Y,20344/001,R,1.0,0.0,MANOMETRO DE RUEDAS,CA,213431,304944,575569,1.0,NTG2604-S,2023-05-18,20344/001,R,2,2023-06-28T11:53:20.039Z,,100227,N,-1,AR027170,
CM100227,R1399123,METROLOGY,100227,304944,NTG2604-S,242586,R,2023-05-16,2023-05-18,C,Y,20344/001,R,1.0,0.0,MANOMETRO DE RUEDAS,CA,213431,304944,575569,1.0,NTG2604-S,2023-05-18,20344/001,R,2,2023-06-28T11:53:20.039Z,2023-05-18,304944,N,2,AR027170,0
CM100229,R1398623,METROLOGY,100229,304939,11111681000,242581,R,2023-05-16,2023-06-16,C,Y,T-1567,R,1.0,0.0,MANOMETRO,CA,216558,304939,583360,1.0,11111681000,2023-06-16,T-1567,R,31,2023-06-28T11:53:20.039Z,,100229,N,-1,AR027170,
CM100229,R1398623,METROLOGY,100229,304939,11111681000,242581,R,2023-05-16,2023-06-16,C,Y,T-1567,R,1.0,0.0,MANOMETRO,CA,216558,304939,583360,1.0,11111681000,2023-06-16,T-1567,R,31,2023-06-28T11:53:20.039Z,2023-05-17,304939,N,2,AR027170,30
CM100408,R1424223,METROLOGY,100408,305330,0-600 PSI,242915,R,2023-05-18,2023-05-23,C,Y,0328,R,1.0,0.0,MANOMETRO,CA,214013,305330,577239,1.0,0-600 PSI,2023-05-23,0328,R,5,2023-06-28T11:53:20.039Z,,100408,N,-1,AR027170,
CM100408,R1424223,METROLOGY,100408,305330,0-600 PSI,242915,R,2023-05-18,2023-05-23,C,Y,0328,R,1.0,0.0,MANOMETRO,CA,214013,305330,577239,1.0,0-600 PSI,2023-05-23,0328,R,5,2023-06-28T11:53:20.039Z,2023-05-18,305330,N,2,AR027170,5
CM100456,R1433123,METROLOGY,100456,305459,TE352-FUA,243030,R,2023-05-18,2023-05-19,C,Y,6403,R,1.0,0.0,TORQUIMETRO,CA,213612,305459,576322,1.0,TE352-FUA,2023-05-19,6403,R,1,2023-06-28T11:53:20.039Z,,100456,N,-1,AR027170,
CM100456,R1433123,METROLOGY,100456,305459,TE352-FUA,243030,R,2023-05-18,2023-05-19,C,Y,6403,R,1.0,0.0,TORQUIMETRO,CA,213612,305459,576322,1.0,TE352-FUA,2023-05-19,6403,R,1,2023-06-28T11:53:20.039Z,2023-05-19,305459,N,5,AR027170,0
CM100465,R1433623,METROLOGY-A,100465,305469,6004MFRMH,243038,R,2023-05-18,2023-06-16,C,Y,0610040703,R,1.0,0.0,TORQUIMETRO,CA,216607,305469,583691,1.0,6004MFRMH,2023-06-16,0610040703,R,29,2023-06-28T11:53:20.039Z,,100465,N,-1,AR027170,
CM100465,R1433623,METROLOGY-A,100465,305469,6004MFRMH,243038,R,2023-05-18,2023-06-16,C,Y,0610040703,R,1.0,0.0,TORQUIMETRO,CA,216607,305469,583691,1.0,6004MFRMH,2023-06-16,0610040703,R,29,2023-06-28T11:53:20.039Z,2023-05-22,305469,N,2,AR027170,25
CM100513,R1439423,METROLOGY,100513,305689,800 PSI,243129,R,2023-05-19,2023-06-14,C,Y,1850,R,1.0,0.0,MANOMETRO,CA,216272,305689,582881,1.0,800 PSI,2023-06-14,1850,R,26,2023-06-28T11:53:20.039Z,2023-05-19,305689,N,2,AR027170,26
CM100513,R1439423,METROLOGY,100513,305689,800 PSI,243129,R,2023-05-19,2023-06-14,C,Y,1850,R,1.0,0.0,MANOMETRO,CA,216272,305689,582881,1.0,800 PSI,2023-06-14,1850,R,26,2023-06-28T11:53:20.039Z,,100513,N,-1,AR027170,
CM100553,R1444123,METROLOGY-A,100553,305787,H-2016-01,243202,R,2023-05-19,2023-05-29,C,Y,4443000405,R,1.0,0.0,MANOMETRO,CA,214305,305787,578023,1.0,H-2016-01,2023-05-29,4443000405,R,10,2023-06-28T11:53:20.039Z,2023-05-22,305787,N,5,AR036683,7
CM100553,R1444123,METROLOGY-A,100553,305787,H-2016-01,243202,R,2023-05-19,2023-05-29,C,Y,4443000405,R,1.0,0.0,MANOMETRO,CA,214305,305787,578023,1.0,H-2016-01,2023-05-29,4443000405,R,10,2023-06-28T11:53:20.039Z,,100553,N,-1,AR036683,
CM100581,R1450423,METROLOGY-A,100581,305892,87V,243287,R,2023-05-19,2023-06-26,C,Y,20350178,R,1.0,0.0,MULTIMETRO DIGITAL PORTATIL FLUKE,CA,217466,305892,585615,1.0,87V,2023-06-26,20350178,R,38,2023-06-28T11:53:20.039Z,,100581,N,-1,AR022228,
CM100581,R1450423,METROLOGY-A,100581,305892,87V,243287,R,2023-05-19,2023-06-26,C,Y,20350178,R,1.0,0.0,MULTIMETRO DIGITAL PORTATIL FLUKE,CA,217466,305892,585615,1.0,87V,2023-06-26,20350178,R,38,2023-06-28T11:53:20.039Z,2023-05-22,305892,N,5,AR022228,35
CM100583,R1448323,METROLOGY,100583,305869,1000 PSI,243265,R,2023-05-19,2023-06-14,C,Y,8174046,R,1.0,0.0,MANOMETRO,CA,216227,305869,582768,1.0,1000 PSI,2023-06-14,8174046,R,26,2023-06-28T11:53:20.039Z,2023-05-19,305869,N,2,AR027170,26
CM100583,R1448323,METROLOGY,100583,305869,1000 PSI,243265,R,2023-05-19,2023-06-14,C,Y,8174046,R,1.0,0.0,MANOMETRO,CA,216227,305869,582768,1.0,1000 PSI,2023-06-14,8174046,R,26,2023-06-28T11:53:20.039Z,,100583,N,-1,AR027170,
